CardID,Responded
"C0100000199","F"
"C0100000343","F"
"C0100000375","F"
"C0100000482","F"
"C0100000689","F"
"C0100000789","F"
"C0100000915","F"
"C0100001116","F"
"C0100001139","F"
"C0100001156","F"
"C0100001244","F"
"C0100001405","F"
"C0100001916","F"
"C0100002002","F"
"C0100002206","F"
"C0100002536","F"
"C0100002691","F"
"C0100003019","F"
"C0100003346","F"
"C0100003753","F"
"C0100003760","F"
"C0100004171","F"
"C0100004238","F"
"C0100004264","F"
"C0100004471","F"
"C0100004471","F"
"C0100004535","F"
"C0100005070","F"
"C0100005091","F"
"C0100005169","F"
"C0100005753","F"
"C0100006171","F"
"C0100006369","F"
"C0100006506","F"
"C0100006701","F"
"C0100006744","F"
"C0100006844","T"
"C0100007186","F"
"C0100007941","F"
"C0100007981","F"
"C0100008596","F"
"C0100008975","F"
"C0100009109","T"
"C0100009974","F"
"C0100010115","F"
"C0100010135","F"
"C0100010322","F"
"C0100010381","F"
"C0100010723","F"
"C0100010871","F"
"C0100010948","F"
"C0100011031","F"
"C0100011221","F"
"C0100011448","F"
"C0100011592","F"
"C0100011730","F"
"C0100011906","F"
"C0100012379","F"
"C0100012502","F"
"C0100013115","F"
"C0100014032","F"
"C0100014088","F"
"C0100014099","F"
"C0100014531","F"
"C0100014610","F"
"C0100014706","F"
"C0100014706","F"
"C0100015471","F"
"C0100015705","F"
"C0100015762","F"
"C0100015958","F"
"C0100016095","F"
"C0100016556","F"
"C0100016812","F"
"C0100017888","F"
"C0100018295","F"
"C0100018557","F"
"C0100018670","F"
"C0100018798","F"
"C0100018896","F"
"C0100019102","F"
"C0100019643","F"
"C0100019754","F"
"C0100019876","F"
"C0100020034","F"
"C0100020376","F"
"C0100020537","F"
"C0100023016","F"
"C0100023305","F"
"C0100023389","F"
"C0100023515","F"
"C0100023634","F"
"C0100023787","F"
"C0100024169","F"
"C0100024199","T"
"C0100024291","F"
"C0100024438","F"
"C0100024714","F"
"C0100024862","F"
"C0100024964","F"
"C0100025376","F"
"C0100025376","F"
"C0100025442","F"
"C0100025501","F"
"C0100025626","F"
"C0100025684","F"
"C0100025804","F"
"C0100025848","F"
"C0100026120","F"
"C0100026244","F"
"C0100026795","F"
"C0100026861","T"
"C0100027679","F"
"C0100027774","F"
"C0100028230","T"
"C0100028512","F"
"C0100028868","F"
"C0100029112","F"
"C0100029328","F"
"C0100029479","F"
"C0100029548","F"
"C0100030162","F"
"C0100031092","F"
"C0100031383","F"
"C0100031493","F"
"C0100031634","F"
"C0100031814","F"
"C0100031928","F"
"C0100032238","F"
"C0100032938","F"
"C0100033194","F"
"C0100033609","F"
"C0100033676","F"
"C0100033717","T"
"C0100033864","F"
"C0100033895","F"
"C0100034115","F"
"C0100034690","T"
"C0100034731","F"
"C0100034757","F"
"C0100034825","F"
"C0100034977","F"
"C0100035241","F"
"C0100035412","F"
"C0100035738","F"
"C0100036008","F"
"C0100036143","F"
"C0100036192","F"
"C0100036380","F"
"C0100036677","T"
"C0100036915","F"
"C0100037034","F"
"C0100037472","F"
"C0100037658","F"
"C0100037745","F"
"C0100037767","F"
"C0100037812","F"
"C0100038179","F"
"C0100038720","F"
"C0100039107","F"
"C0100039329","T"
"C0100039612","F"
"C0100039696","F"
"C0100039837","F"
"C0100040254","F"
"C0100040305","T"
"C0100040510","F"
"C0100040807","F"
"C0100041032","F"
"C0100041438","F"
"C0100041742","T"
"C0100042285","F"
"C0100042400","F"
"C0100042407","F"
"C0100042446","F"
"C0100042563","F"
"C0100042882","F"
"C0100043022","F"
"C0100043040","F"
"C0100043364","F"
"C0100043364","F"
"C0100043861","T"
"C0100044359","F"
"C0100044375","F"
"C0100044662","F"
"C0100044680","F"
"C0100045044","F"
"C0100045140","F"
"C0100045315","F"
"C0100045649","F"
"C0100045668","F"
"C0100045728","F"
"C0100045876","F"
"C0100046511","F"
"C0100046905","T"
"C0100047465","F"
"C0100047987","F"
"C0100048089","T"
"C0100048125","T"
"C0100048383","F"
"C0100048487","F"
"C0100048835","F"
"C0100049638","F"
"C0100050373","F"
"C0100050373","F"
"C0100050607","F"
"C0100050881","F"
"C0100051040","F"
"C0100051340","F"
"C0100051612","T"
"C0100052332","F"
"C0100052526","F"
"C0100053026","F"
"C0100053395","F"
"C0100053859","F"
"C0100054367","F"
"C0100055079","F"
"C0100055325","T"
"C0100055488","F"
"C0100056052","F"
"C0100057309","F"
"C0100057366","F"
"C0100057771","F"
"C0100058149","F"
"C0100058242","F"
"C0100058324","F"
"C0100058331","F"
"C0100058669","F"
"C0100058764","T"
"C0100059062","F"
"C0100059120","F"
"C0100059381","F"
"C0100059847","F"
"C0100059847","F"
"C0100060328","F"
"C0100060678","F"
"C0100061403","F"
"C0100062063","F"
"C0100062438","F"
"C0100062708","F"
"C0100062987","F"
"C0100063070","F"
"C0100063500","F"
"C0100063688","F"
"C0100063896","F"
"C0100063987","F"
"C0100064025","T"
"C0100064120","F"
"C0100064550","F"
"C0100064668","F"
"C0100065000","F"
"C0100065103","F"
"C0100065859","F"
"C0100065937","F"
"C0100066267","F"
"C0100066398","F"
"C0100067022","T"
"C0100067185","F"
"C0100067220","F"
"C0100068223","F"
"C0100068252","F"
"C0100068498","T"
"C0100068611","F"
"C0100068810","F"
"C0100068929","F"
"C0100069107","F"
"C0100069117","F"
"C0100069385","F"
"C0100069823","F"
"C0100070019","F"
"C0100070283","F"
"C0100070619","F"
"C0100070993","F"
"C0100071668","F"
"C0100072173","F"
"C0100072553","F"
"C0100072753","F"
"C0100073195","F"
"C0100073474","F"
"C0100073984","F"
"C0100074117","F"
"C0100074327","F"
"C0100074417","F"
"C0100074662","F"
"C0100074745","F"
"C0100074745","F"
"C0100074945","F"
"C0100074960","T"
"C0100075034","F"
"C0100076563","T"
"C0100077249","F"
"C0100077250","F"
"C0100077260","F"
"C0100077892","F"
"C0100078220","F"
"C0100078423","F"
"C0100078580","F"
"C0100078632","F"
"C0100079000","F"
"C0100079071","F"
"C0100079273","F"
"C0100079386","F"
"C0100079764","F"
"C0100080648","F"
"C0100080797","T"
"C0100080982","F"
"C0100081708","F"
"C0100081813","F"
"C0100082574","F"
"C0100082777","F"
"C0100082867","F"
"C0100082954","F"
"C0100082993","F"
"C0100083064","F"
"C0100083335","F"
"C0100083605","F"
"C0100083651","T"
"C0100083693","T"
"C0100083838","F"
"C0100083912","F"
"C0100083968","F"
"C0100084786","F"
"C0100085226","F"
"C0100085593","F"
"C0100085593","F"
"C0100085641","F"
"C0100085641","F"
"C0100085688","F"
"C0100085823","F"
"C0100085967","F"
"C0100086490","F"
"C0100086961","F"
"C0100086983","F"
"C0100087047","F"
"C0100087126","F"
"C0100087259","F"
"C0100087579","F"
"C0100087614","F"
"C0100087748","F"
"C0100088157","F"
"C0100088416","F"
"C0100088501","F"
"C0100088603","F"
"C0100088710","T"
"C0100088728","F"
"C0100088904","F"
"C0100089783","F"
"C0100089846","F"
"C0100090144","T"
"C0100090282","F"
"C0100090676","F"
"C0100090786","F"
"C0100090967","F"
"C0100091092","F"
"C0100091615","F"
"C0100091782","F"
"C0100091847","F"
"C0100091892","F"
"C0100092102","F"
"C0100092282","F"
"C0100092658","F"
"C0100093154","F"
"C0100093620","F"
"C0100094748","F"
"C0100094748","F"
"C0100094978","F"
"C0100095192","T"
"C0100095597","F"
"C0100095697","F"
"C0100095820","F"
"C0100095870","F"
"C0100097016","F"
"C0100097185","F"
"C0100099715","F"
"C0100099759","T"
"C0100099759","F"
"C0100100256","F"
"C0100100411","F"
"C0100101238","F"
"C0100101308","F"
"C0100101446","F"
"C0100102024","F"
"C0100102067","F"
"C0100102067","F"
"C0100102353","F"
"C0100102508","F"
"C0100102911","F"
"C0100103390","F"
"C0100103464","F"
"C0100103516","T"
"C0100103624","F"
"C0100103670","F"
"C0100104360","F"
"C0100104609","F"
"C0100104783","F"
"C0100105240","F"
"C0100105794","F"
"C0100106118","T"
"C0100106295","F"
"C0100106900","F"
"C0100107248","F"
"C0100107514","F"
"C0100107880","F"
"C0100108032","T"
"C0100108574","F"
"C0100108852","F"
"C0100109460","F"
"C0100109460","F"
"C0100109564","F"
"C0100109701","F"
"C0100109850","F"
"C0100109889","F"
"C0100110150","F"
"C0100110245","F"
"C0100111041","F"
"C0100111492","F"
"C0100111549","F"
"C0100111640","F"
"C0100111980","F"
"C0100112684","F"
"C0100112906","F"
"C0100113395","F"
"C0100113616","F"
"C0100113705","F"
"C0100113789","F"
"C0100113887","F"
"C0100114158","F"
"C0100114248","F"
"C0100114487","F"
"C0100114827","F"
"C0100114828","F"
"C0100115071","F"
"C0100115072","F"
"C0100115245","F"
"C0100115812","F"
"C0100115882","F"
"C0100116898","F"
"C0100117226","F"
"C0100117330","F"
"C0100117644","F"
"C0100117804","F"
"C0100118006","F"
"C0100118035","F"
"C0100118078","F"
"C0100118157","T"
"C0100118454","F"
"C0100118773","F"
"C0100118829","F"
"C0100119247","F"
"C0100119429","F"
"C0100119574","F"
"C0100120001","F"
"C0100120253","F"
"C0100120343","F"
"C0100121324","F"
"C0100121439","F"
"C0100121855","F"
"C0100122073","F"
"C0100122073","F"
"C0100122230","F"
"C0100122574","F"
"C0100122763","F"
"C0100122837","F"
"C0100122849","F"
"C0100123447","F"
"C0100123447","F"
"C0100124048","F"
"C0100124073","F"
"C0100124073","F"
"C0100124336","F"
"C0100124719","F"
"C0100124914","F"
"C0100125071","F"
"C0100125423","F"
"C0100125853","F"
"C0100125930","F"
"C0100126148","F"
"C0100126391","F"
"C0100126477","F"
"C0100126931","F"
"C0100127232","F"
"C0100127259","F"
"C0100127302","F"
