CardID,MaritalStatus,NumChildren,LoS,HHIncomeMed
"C0100000199","S",4,1.156164,71079.744865
"C0100000343","",1,3.002740,79424.115726
"C0100000375","S",0,0.068493,41878.414258
"C0100000482","S",1,1.356164,62924.588763
"C0100000689","M",3,2.484932,46616.718039
"C0100000789","M",1,1.284932,88015.076144
"C0100000915","M",0,-0.849315,87109.286782
"C0100001116","S",0,2.931507,60670.491653
"C0100001139","",2,1.934247,46619.159520
"C0100001156","S",2,1.126027,60681.478317
"C0100001244","M",2,1.986301,68005.310221
"C0100001405","",0,0.583562,51286.660360
"C0100001916","M",1,1.698630,88015.076144
"C0100002002","S",0,0.931507,64597.613453
"C0100002206","",1,0.923288,56679.891354
"C0100002536","",0,1.528767,41147.190771
"C0100002691","M",0,1.158904,75019.074068
"C0100003019","S",0,1.378082,78666.035951
"C0100003346","M",1,0.706849,35938.901944
"C0100003753","S",0,1.002740,55927.304910
"C0100003760","",0,2.969863,68007.751701
"C0100004171","S",0,-0.846575,62628.559221
"C0100004238","",0,1.736986,29988.402966
"C0100004264","",0,1.504110,37854.243599
"C0100004471","M",2,0.547945,51251.258889
"C0100004535","",1,1.301370,44379.100925
"C0100005070","",2,1.101370,72943.815424
"C0100005091","",0,0.493151,71468.550676
"C0100005169","M",2,2.695890,85480.819117
"C0100005753","M",2,1.638356,69230.933561
"C0100006171","",2,0.071233,56537.675100
"C0100006369","S",1,0.953425,82063.356426
"C0100006506","S",0,1.194521,48022.400586
"C0100006701","S",1,1.320548,30990.020447
"C0100006744","",3,1.871233,78788.109989
"C0100006844","M",1,0.624658,41001.922666
"C0100007186","S",1,2.035616,74981.231117
"C0100007941","",0,0.191781,32004.455702
"C0100007981","M",2,1.852055,30985.747856
"C0100008596","M",4,0.257534,64403.515732
"C0100008975","M",1,2.290411,48308.664205
"C0100009109","S",0,1.813699,62129.276406
"C0100009974","M",0,2.827397,70702.536088
"C0100010115","M",1,2.115068,44439.527573
"C0100010135","S",0,2.432877,57719.351787
"C0100010322","M",1,2.747945,64610.431227
"C0100010381","M",1,0.194521,38417.615284
"C0100010723","S",2,1.260274,82063.356426
"C0100010871","S",0,0.238356,54252.449110
"C0100010948","",0,2.389041,75110.019227
"C0100011031","M",4,1.361644,65029.145177
"C0100011221","",3,2.175342,51002.838221
"C0100011448","",2,0.745205,71823.786126
"C0100011592","M",2,0.183562,50989.410077
"C0100011730","S",7,0.515068,46600.238044
"C0100011906","",0,1.553425,56563.921018
"C0100012379","S",3,-0.580822,64615.314188
"C0100012502","S",0,0.449315,88015.076144
"C0100013115","M",1,1.175342,88015.076144
"C0100014032","M",3,1.490411,88015.076144
"C0100014088","M",1,-0.608219,85348.979156
"C0100014099","",2,2.509589,83718.680380
"C0100014531","S",2,0.106849,46550.798059
"C0100014610","S",2,0.380822,88015.076144
"C0100014706","M",1,0.794521,49875.484481
"C0100015471","S",0,1.939726,71807.916501
"C0100015705","",0,2.016438,50604.876858
"C0100015762","S",0,0.838356,69886.471145
"C0100015958","S",0,-0.457534,67973.570971
"C0100016095","M",2,0.854795,88015.076144
"C0100016556","M",2,1.805479,72954.191717
"C0100016812","",0,2.435616,86856.593524
"C0100017888","S",0,0.128767,47964.415418
"C0100018295","",1,1.432877,58608.661153
"C0100018557","M",3,-0.509589,88015.076144
"C0100018670","S",0,1.386301,54871.364483
"C0100018798","",0,2.186301,77147.434919
"C0100018896","S",3,-0.572603,63425.702689
"C0100019102","S",0,0.416438,53433.942686
"C0100019643","S",1,2.087671,38241.828669
"C0100019754","S",0,0.852055,51342.814417
"C0100019876","M",2,0.361644,61882.686850
"C0100020034","S",6,0.778082,53346.659749
"C0100020376","S",0,0.098630,69669.179357
"C0100020537","",2,-0.679452,64984.588153
"C0100023016","S",0,2.479452,31035.187841
"C0100023305","M",1,2.060274,78564.104129
"C0100023389","S",2,0.156164,78117.923521
"C0100023515","M",0,2.145205,80404.980621
"C0100023634","",0,2.232877,48004.699850
"C0100023787","",3,0.961644,41992.553484
"C0100024169","S",0,0.643836,62119.510483
"C0100024199","M",0,0.421918,37528.305918
"C0100024291","M",2,0.597260,46570.940275
"C0100024438","M",1,0.882192,43989.074374
"C0100024714","S",0,2.013699,60692.464980
"C0100024862","M",2,0.071233,55424.359874
"C0100024964","",2,1.638356,87747.734001
"C0100025376","",0,1.394521,52578.814051
"C0100025442","",0,2.643836,82904.446547
"C0100025501","S",1,0.027397,55377.971740
"C0100025626","S",0,2.567123,73200.781274
"C0100025684","",2,0.117808,62797.631764
"C0100025804","M",3,2.389041,69226.050600
"C0100025848","",0,1.569863,58701.437422
"C0100026120","S",1,0.164384,68004.089480
"C0100026244","M",1,1.109589,45164.036988
"C0100026795","S",1,2.528767,62073.122349
"C0100026861","M",0,-0.523288,59054.231391
"C0100027679","",1,0.271233,88015.076144
"C0100027774","S",0,-0.512329,34463.026826
"C0100028230","M",0,2.764384,59977.721488
"C0100028512","M",1,2.843836,31293.984802
"C0100028868","S",2,2.309589,58355.967895
"C0100029112","M",0,1.687671,88015.076144
